subnum,condition
ML001,1
ML043,2
ML018,1
ML008,1
ML034,1
ML091,2
ML004,2
ML014,1
ML149,1
ML159,2
ML007,2
ML053,1
ML057,2
ML002,2
ML180,1
ML087,2
ML158,1
ML058,2
ML064,2
ML165,2
ML039,2
ML115,1
ML005,2
ML003,2
ML081,1
ML156,2
ML076,2
ML063,1
ML006,2
ML071,1
ML102,1
ML088,1
ML106,1
ML109 ,1
ML119,1
ML197,1
ML122,1
ML052,2
ML170,1
ML169,1
ML031,2
ML067,2
ML074,2
ML130,1
ML139,2
ML183,1
ML136,1
ML187,2
ML050,1
ML167,2
ML179,2
ML192,2
ML075,2
ML154,1
ML194,2
ML196,2
ML191,1
ML193,1
ML195,1
ML184,2
ML022,1
ML023,1
ML010,2
ML035,2
ML036,2
ML047,1
ML048,2
ML051,1
ML060,1
ML061,2
ML032,2
ML054,2
ML082,2
ML041,1
ML021,1
ML098,1
ML068,1
ML079,1
ML062,1
ML026,2
ML070,1
ML078,2
ML011,1
ML017,2
ML072,2
ML141,1
ML049,2
ML030,2
ML015,1
ML024,2
ML077,2
ML045,2
ML160,2
ML073,1
ML123,2
ML055,1
ML126,2
ML069,1
ML153,2
ML121,2
ML009,1
ML056,1
ML114,2
ML093,2
ML145,1
ML124,1
ML150,2
ML151,1
ML162,2
ML178,1
ML103,1
ML138,1
ML146,2
ML190,1